"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"Ashland University","401 College Avenue, Ashland, Ohio 44805","https://www.ashland.edu/","4-year, Private not-for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice","Town: Fringe","Yes","4174","3083","61%","6%","Fall 2017","$21,971","-","201104","00301200"
"Aspen University","4615 E. Elwood St., Suite 100, Phoenix, Arizona 85040","https://www.aspen.edu/","4-year, Private for-profit","Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship","City: Large","No","7386","4086","NA","NA","Fall 2017","NA","-","454829","04080300"
"ASPIRA City College","4322 N. 5th Street, Philadelphia, Pennsylvania 19140-2302","https://aspiracitycollege.edu/","2-year, Private not-for-profit","One but less than two years certificate|Associate's degree","City: Large","No","11","11","0%","50%","Fall 2020","$15,727","-","214023","03109100"
"Associated Beth Rivkah Schools","310 Crown Street, Brooklyn, New York 11225-0000","https://www.bethrivkah.edu/dhl","4-year, primarily associate's, Private not-for-profit","Less than one year certificate|Associate's degree|Bachelor's degree","City: Large","No","308","308","74%","NA","Fall 2017","$18,745","-","188942","02506000"
"Assumption College for Sisters","200 A Morris Avenue, Denville, New Jersey 07834","www.acs350.org/","2-year, Private not-for-profit","One but less than two years certificate|Associate's degree","Suburb: Large","Yes","33","33","100%","NA","Fall 2020","NA","-","183600",""
"Assumption University","500 Salisbury St, Worcester, Massachusetts 01609-1296","https://www.assumption.edu/","4-year, Private not-for-profit","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate","City: Midsize","Yes","2059","1704","75%","NA","Fall 2017","$29,072","-","164562","00211800"
"ATA Career Education","7351 Spring Hill Drive, Suite 11, Spring Hill, Florida 34606","www.atafl.edu/","4-year, primarily associate's, Private for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree","Suburb: Midsize","No","194","194","63%","7%","Fall 2017","$26,361","-","446127","04038302"
"ATA College","1810 Gillespie Way, Suite 104, El Cajon, California 92020","https://atacollege.edu/","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree","Suburb: Large","No","54","54","86%","NA","Fall 2020","$13,567","Medical/Clinical Assistant","444361","03532400"
"ATA College","10820 E 45th St Suite 100, Tulsa, Oklahoma 74146","www.ata.edu/campus/tulsa-ok/","2-year, Private for-profit","One but less than two years certificate|Associate's degree","City: Large","No","177","177","67%","11%","Fall 2020","$21,222","-","449728","04060300"
"ATA College","10200 Linn Station Rd Ste 125, Louisville, Kentucky 40223","www.ata.edu/","2-year, Private for-profit","One but less than two years certificate|Associate's degree","Suburb: Large","No","264","264","33%","19%","Fall 2020","$26,483","-","447935","04038300"
"ATA College-Cincinnati","225 Pictoria Drive, Suite 200, Cincinnati, Ohio 45246","www.ata.edu/","4-year, primarily associate's, Private for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree","Suburb: Large","No","309","309","71%","NA","Fall 2017","$25,262","-","452373","04038304"
"Atenas College","Paseo del Atenas  #101, Manati, Puerto Rico 00674-0000","www.atenascollege.edu/","4-year, primarily associate's, Private not-for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree|Master's degree","Suburb: Large","No","505","505","43%","NA","Fall 2017","$6,544","-","440651","03544300"
"Athena Career Academy","5203 Airport Hwy, Toledo, Ohio 43615","www.athenacareers.edu/","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree","City: Large","No","245","245","61%","39%","Fall 2020","$24,907","Licensed Practical/Vocational Nurse Training","476683","04192200"
"Athenaeum of Ohio","6616 Beechmont Ave, Cincinnati, Ohio 45230-2091","https://www.athenaeum.edu/","4-year, Private not-for-profit","Less than one year certificate|Postbaccalaureate certificate|Master's degree","City: Large","Yes","141","37","NA","NA","Fall 2017","NA","-","201140","00301300"
"Athens State University","300 N Beaty St, Athens, Alabama 35611","https://www.athens.edu/","4-year, Public","Less than one year certificate|One but less than two years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree","Town: Fringe","No","2894","2520","NA","NA","Fall 2017","NA","-","100812","00100800"
"Athens Technical College","800 U.S. Hwy 29 North, Athens, Georgia 30601","www.athenstech.edu/","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","City: Midsize","No","3865","3865","33%","11%","Fall 2020","$7,481","-","246813","00560000"
"ATI College-Whittier","15141 Whittier Blvd Suite 420, Whitter, California 90603-0000","www.ati.edu/","4-year, primarily associate's, Private for-profit","One but less than two years certificate|Associate's degree|Two but less than 4 years certificate|Bachelor's degree","Suburb: Large","No","114","114","20%","NA","Fall 2017","$25,796","Diagnostic Medical Sonography/Sonographer and Ultrasound Technician","444325","03740400"
"Atlanta Institute of Music and Media","2875 Breckinridge Blvd., Suite 700, Duluth, Georgia 30096","aimm.edu/","2-year, Private for-profit","One but less than two years certificate|Associate's degree","Suburb: Large","No","250","250","26%","NA","Fall 2020","$34,342","Recording Arts Technology/Technician","419244","03104500"
"Atlanta Metropolitan State College","1630 Metropolitan Parkway, SW, Atlanta, Georgia 30310-4448","https://www.atlm.edu/","4-year, primarily associate's, Public","Less than one year certificate|Associate's degree|Bachelor's degree","City: Large","No","1435","1435","14%","30%","Fall 2017","$4,902","-","138901","01216500"
"Atlanta Technical College","1560 Metropolitan Pkwy SW, Atlanta, Georgia 30310-4446","https://atlantatech.edu/","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","City: Large","No","3125","3125","41%","10%","Fall 2020","NA","-","138840","00854300"
"Atlanta's John Marshall Law School","245 Peachtree Center Ave. NE, Suite 1900, Atlanta, Georgia 30303","www.johnmarshall.edu/","4-year, Private for-profit","Doctor's degree - professional practice","City: Large","No","342","","NA","NA","Fall 2017","NA","-","138929","03173300"
"Atlantic Cape Community College","5100 Black Horse Pike, Mays Landing, New Jersey 08330-2699","atlanticcape.edu/","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Rural: Fringe","No","4278","4278","25%","15%","Fall 2020","$8,409","-","183655","00259600"
"Atlantic Institute of Oriental Medicine","100 E Broward Blvd, Suite 100, Fort Lauderdale, Florida 33301-3510","www.atom.edu/","4-year, Private not-for-profit","Bachelor's degree|Master's degree|Doctor's degree","City: Midsize","No","145","1","NA","NA","Fall 2017","NA","-","439446","03429600"
"Atlantic University","Colton St. # 9, Guaynabo, Puerto Rico 00970","www.atlanticu.edu/","4-year, Private not-for-profit","Bachelor's degree|Master's degree","City: Small","No","1653","1577","36%","24%","Fall 2017","$6,305","-","241216","02505400"
"Atlantis University","1011 Sunnybrook Road, Miami, Florida 33136","https://atlantisuniversity.edu/","4-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Master's degree","City: Large","No","850","443","61%","3%","Fall 2017","$19,038","-","485768","04233900"
"Auburn University"," , Auburn, Alabama 36849","www.auburn.edu/","4-year, Public","Less than one year certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice|Doctor's degree - other","City: Small","Yes","31764","25379","79%","13%","Fall 2017","$24,524","-","100858","00100900"
"Auburn University at Montgomery","7440 East Drive, Montgomery, Alabama 36117-3596","www.aum.edu/","4-year, Public","Less than one year certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Midsize","Yes","5109","3754","36%","29%","Fall 2017","$15,458","-","100830","00831000"
"Augsburg University","2211 Riverside Ave, Minneapolis, Minnesota 55454","www.augsburg.edu/","4-year, Private not-for-profit","One but less than two years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - professional practice","City: Large","Yes","3088","2358","52%","3%","Fall 2017","$24,807","-","173045","00233400"
"Augusta Technical College","3200 Augusta Tech Drive, Augusta, Georgia 30906","www.augustatech.edu/","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","City: Midsize","No","3970","3970","31%","14%","Fall 2020","$8,084","-","138956","00559900"
"Augusta University","1120 15th St, Augusta, Georgia 30912","www.augusta.edu/","4-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Midsize","Yes","9140","5378","49%","36%","Fall 2017","$13,486","-","482149","00157900"
"Augustana College","639 38th St, Rock Island, Illinois 61201-2296","www.augustana.edu/","4-year, Private not-for-profit","Bachelor's degree|Master's degree","City: Small","Yes","2349","2318","79%","NA","Fall 2017","$24,695","-","143084","00163300"
"Augustana University","2001 S Summit Ave, Sioux Falls, South Dakota 57197-0001","www.augie.edu/","4-year, Private not-for-profit","Bachelor's degree|Master's degree|Post-master's certificate|Doctor's degree - professional practice","City: Midsize","Yes","2086","1831","76%","14%","Fall 2017","$25,280","-","219000","00345800"
"Auguste Escoffier School of Culinary Arts-Austin","6020-B Dillard Circle, Austin, Texas 78752","www.escoffier.edu/","2-year, Private for-profit","Less than one year certificate|Associate's degree","City: Large","No","437","437","57%","3%","Fall 2020","$21,670","Culinary Arts/Chef Training","444556","03727600"
"Auguste Escoffier School of Culinary Arts-Boulder","637 S Broadway, Ste H, Boulder, Colorado 80305","www.escoffier.edu/","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree","City: Midsize","No","8894","8894","46%","NA","Fall 2020","$11,554","Culinary Arts/Chef Training","454810","03776300"
"Aultman College of Nursing and Health Sciences","2600 6th St SW, Canton, Ohio 44710-1797","https://www.aultmancollege.edu/","4-year, Private not-for-profit","Less than one year certificate|Associate's degree|Bachelor's degree","City: Small","No","250","250","52%","NA","Fall 2017","$21,470","-","201177","00648700"
"Aurora University","347 S Gladstone Ave, Aurora, Illinois 60506-4892","https://aurora.edu/","4-year, Private not-for-profit","Bachelor's degree|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship","Suburb: Large","Yes","5918","4048","58%","NA","Fall 2017","$19,220","-","143118","00163400"
"Austin College","900 N Grand Ave, Sherman, Texas 75090-4400","www.austincollege.edu/","4-year, Private not-for-profit","Bachelor's degree|Master's degree","City: Small","Yes","1182","1167","69%","NA","Fall 2017","$24,777","-","222983","00354300"
"Austin Community College District","6101 Highland Campus Drive, Austin, Texas 78752-7000","www.austincc.edu/","4-year, primarily associate's, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree","City: Large","No","34527","34527","18%","36%","Fall 2017","$3,502","-","222992","01201500"
"Austin Peay State University","601 College St, Clarksville, Tennessee 37044","www.apsu.edu/","4-year, Public","Less than one year certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Midsize","Yes","9326","8120","45%","NA","Fall 2017","$14,679","-","219602","00347800"
"Austin Presbyterian Theological Seminary","100 E 27th St, Austin, Texas 78705-5711","https://www.austinseminary.edu/","4-year, Private not-for-profit","Master's degree|Doctor's degree - professional practice","City: Large","Yes","172","","NA","NA","Fall 2017","NA","-","223001","00354400"
"Ave Maria School of Law","1025 Commons Circle, Naples, Florida 34119","https://www.avemarialaw.edu/","4-year, Private not-for-profit","Doctor's degree - professional practice","Suburb: Large","Yes","265","","NA","NA","Fall 2017","NA","-","442295","03691400"
"Ave Maria University","5050 Ave Maria Blvd, Ave Maria, Florida 34142-9505","www.avemaria.edu/","4-year, Private not-for-profit","Bachelor's degree|Master's degree|Doctor's degree - research/scholarship","Rural: Distant","Yes","1310","1247","55%","NA","Fall 2017","$23,515","-","446048","03941300"
"Averett University","420 W Main St, Danville, Virginia 24541","https://www.averett.edu/","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate","Town: Distant","Yes","1363","1140","44%","37%","Fall 2017","$24,091","-","231420","00370200"
"Aviation Institute of Maintenance-Atlanta","2025 Satellite Pointe, Duluth, Georgia 30096","https://aviationmaintenance.edu/campuses/atlanta-ga/","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","Suburb: Large","No","728","728","52%","NA","Fall 2020","$23,627","-","440059","03523300"
"Aviation Institute of Maintenance-Indianapolis","7251 W. McCarty St., Indianapolis, Indiana 46241","https://aviationmaintenance.edu/campuses/indianapolis-in","2-year, Private for-profit","One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","City: Large","No","156","156","59%","NA","Fall 2020","$29,199","-","438735","03176300"
"Aviator College of Aeronautical Science and Technology","3800 St Lucie Blvd, Fort Pierce, Florida 34946","www.aviator.edu/","4-year, primarily associate's, Private for-profit","Less than one year certificate|Associate's degree|Two but less than 4 years certificate|Bachelor's degree","Suburb: Large","Yes","241","241","58%","2%","Fall 2017","$34,016","-","447847","03986300"
"Avila University","11901 Wornall Rd, Kansas City, Missouri 64145-1698","https://www.avila.edu/","4-year, Private not-for-profit","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate","City: Large","Yes","1306","978","43%","39%","Fall 2017","$17,482","-","176628","00244900"
"Azusa Pacific University","901 E Alosta, Azusa, California 91702-7000","www.apu.edu/","4-year, Private not-for-profit","Less than one year certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","Suburb: Large","Yes","7169","3348","64%","NA","Fall 2017","$26,117","-","109785","00111700"
"Babson College","231 Forest Street, Wellesley, Massachusetts 02457-0310","www.babson.edu/","4-year, Private not-for-profit","Bachelor's degree|Postbaccalaureate certificate|Master's degree","Suburb: Large","Yes","3989","2761","92%","NA","Fall 2017","$30,220","-","164580","00212100"
"Bacone College","2299 Old Bacone Rd, Muskogee, Oklahoma 74403-1597","www.bacone.edu/","4-year, Private not-for-profit","Associate's degree|Bachelor's degree","Town: Distant","Yes","281","281","2%","NA","Fall 2017","$16,970","-","206817",""
"Bais Binyomin Academy","51 Carlton Road, Monsey, New York 10952","https://baisbinyominacademy.com/","4-year, primarily associate's, Private not-for-profit","Associate's degree|Bachelor's degree","Suburb: Large","No","60","60","57%","29%","Fall 2017","$19,042","-","128586","04267800"
"Bais HaMedrash and Mesivta of Baltimore","6823 Old Pimlico Road, Baltimore, Maryland 21209-1613","www.bhmb.edu/","4-year, Private not-for-profit","Bachelor's degree","Suburb: Large","Yes","86","86","12%","NA","Fall 2017","$11,550","-","476601","04188400"
"Bais Medrash Elyon","73 Main Street, Monsey, New York 10952","baismedroshelyon.com/","4-year, Private not-for-profit","Bachelor's degree","Suburb: Large","No","97","45","NA","NA","Fall 2017","$9,630","-","245777","02622900"
"Bais Medrash Mayan Hatorah","101 Milton Street, Lakewood, New Jersey 08701","https://baismedrashmayanhatorah.com/","4-year, primarily associate's, Private not-for-profit","Associate's degree|Bachelor's degree","City: Small","Yes","34","34","65%","20%","Fall 2017","$11,755","-","490513","04266000"
"Bais Medrash of Dexter Park","445 South Pascack Road, Chestnut Ridge, New York 10977","https://bmdpark.com/","4-year, primarily associate's, Private not-for-profit","Associate's degree|Bachelor's degree","Suburb: Large","No","68","68","86%","14%","Fall 2017","$25,725","-","495031","04284600"
"Bais Medrash Toras Chesed","901 Monmouth Ave, Lakewood, New Jersey 08701","www.bmtc.edu/","4-year, Private not-for-profit","Bachelor's degree","City: Small","Yes","110","110","32%","43%","Fall 2017","$7,484","-","449658","04081300"
"Baker College","1020 S Washington St, Owosso, Michigan 48867","www.baker.edu/","4-year, Private not-for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship","Town: Distant","Yes","4106","3778","31%","29%","Fall 2017","$14,743","-","168847","00467300"
"Baker University","615 Dearborn Street, Baldwin City, Kansas 66006-0065","https://www.bakeru.edu/","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship","Rural: Distant","Yes","2105","1509","59%","29%","Fall 2017","$23,410","-","154688","00190300"
"Bakersfield College","1801 Panorama Dr, Bakersfield, California 93305-1299","https://www.bakersfieldcollege.edu/","4-year, primarily associate's, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree","City: Large","No","26873","26873","23%","8%","Fall 2017","$5,892","-","109819","00111800"
"Bakke Graduate University","8515 Greenville Ave, Suite S206, Dallas, Texas 75243-7039","https://www.bgu.edu/","4-year, Private not-for-profit","Master's degree|Doctor's degree - research/scholarship","City: Large","No","149","","NA","NA","Fall 2017","NA","-","420705","03110800"
"Baldwin Wallace University","275 Eastland Rd, Berea, Ohio 44017-2088","https://www.bw.edu/","4-year, Private not-for-profit","Less than one year certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate","Suburb: Large","Yes","3220","2744","69%","21%","Fall 2017","$28,190","-","201195","00301400"
"Ball State University","2000 W. University Ave, Muncie, Indiana 47306","https://www.bsu.edu/","4-year, Public","Less than one year certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Small","Yes","19777","14416","63%","23%","Fall 2017","$13,017","-","150136","00178600"
"Baltimore City Community College","2901 Liberty Heights Avenue, Baltimore, Maryland 21215-7893","www.bccc.edu/","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","City: Large","No","3538","3538","12%","10%","Fall 2020","$11,807","-","161864","00206100"
"Bank Street College of Education","610 W 112 St, New York, New York 10025","www.bankstreet.edu/","4-year, Private not-for-profit","Postbaccalaureate certificate|Master's degree|Post-master's certificate","City: Large","No","683","","NA","NA","Fall 2017","NA","-","189015","00266900"
"Baptist Health College Little Rock","11900 COLONEL GLENN RD STE 1000, Little Rock, Arkansas 72210-2827","https://www.bhclr.edu/","2-year, Private not-for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","City: Midsize","No","549","549","67%","NA","Fall 2020","$34,539","-","106546","03105200"
"Baptist Health Sciences University","1003 Monroe Ave, Memphis, Tennessee 38104","www.baptistu.edu/","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Doctor's degree - professional practice","City: Large","Yes","797","777","54%","30%","Fall 2017","$15,395","-","219639","03440300"
"Baptist Health System School of Health Professions","8400 Datapoint Dr, San Antonio, Texas 78229","www.bshp.edu/","4-year, primarily associate's, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree","City: Large","No","467","467","NA","NA","Fall 2017","NA","-","223083","00660600"
"Baptist Missionary Association Theological Seminary","1530 E Pine St, Jacksonville, Texas 75766-5407","www.bmats.edu/","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree","Town: Distant","Yes","104","59","NA","NA","Fall 2017","NA","-","223117","02331200"
"Baptist University of Florida","5400 College Dr, Graceville, Florida 32440","www.buf.edu/","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree","Rural: Distant","Yes","410","385","69%","NA","Fall 2017","$8,904","-","132408","02159600"
"Baptist University of the Americas","2418 W. Ansley Blvd., San Antonio, Texas 78224-1443","www.bua.edu/","4-year, Private not-for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Master's degree","City: Large","Yes","109","108","27%","18%","Fall 2017","$11,409","-","444398","03733300"
"Barclay College","607 N Kingman, Haviland, Kansas 67059-0288","www.barclaycollege.edu/","4-year, Private not-for-profit","Less than one year certificate|Associate's degree|Bachelor's degree|Master's degree|Post-master's certificate","Rural: Remote","Yes","169","152","55%","17%","Fall 2017","$25,548","-","155070","00191700"
"Bard College","Annandale Road, Annandale-On-Hudson, New York 12504-5000","www.bard.edu/","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree|Doctor's degree - research/scholarship","Rural: Fringe","Yes","2706","2296","73%","NA","Fall 2017","$25,218","-","189088","00267100"
"Bard College at Simon's Rock","84 Alford Road, Great Barrington, Massachusetts 01230-9702","www.simons-rock.edu/","4-year, primarily associate's, Private not-for-profit","Associate's degree|Bachelor's degree","Rural: Distant","Yes","298","298","54%","24%","Fall 2017","$45,395","-","167792","00267122"
"Barnard College","3009 Broadway, New York, New York 10027-6598","www.barnard.edu/","4-year, Private not-for-profit","Bachelor's degree","City: Large","Yes","3442","3442","93%","3%","Fall 2017","$27,738","-","189097","00270800"
"Barnes-Jewish College Goldfarb School of Nursing","4483 Duncan Avenue, Mailstop 90-36-697, Saint Louis, Missouri 63110","https://www.barnesjewishcollege.edu/","4-year, Private not-for-profit","Bachelor's degree|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice|Doctor's degree - other","City: Large","No","493","415","NA","NA","Fall 2017","NA","-","177719","00638900"
"Barry University","11300 NE 2nd Ave, Miami, Florida 33161-6695","www.barry.edu/","4-year, Private not-for-profit","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","Suburb: Large","Yes","6958","3122","37%","41%","Fall 2017","$23,930","-","132471","00146600"
"Barstow Community College","2700 Barstow Road, Barstow, California 92311","www.barstow.edu/","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Town: Distant","No","2884","2884","33%","11%","Fall 2020","$12,513","-","109907","00111900"
"Barton College","200 E. ACC Drive, Wilson, North Carolina 27893-7000","https://www.barton.edu/","4-year, Private not-for-profit","Bachelor's degree|Master's degree","Town: Fringe","Yes","1265","1187","52%","NA","Fall 2017","$23,804","-","197911","00290800"
"Barton County Community College","245 NE 30th Road, Great Bend, Kansas 67530","https://www.bartonccc.edu/","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Rural: Fringe","Yes","4269","4269","43%","21%","Fall 2020","$11,329","-","154697","00460800"
"Bastyr University","14500 Juanita Drive NE, Kenmore, Washington 98028-4966","www.bastyr.edu/","4-year, Private not-for-profit","Less than one year certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - professional practice","Suburb: Large","Yes","728","74","NA","NA","Fall 2017","NA","-","235547","02242500"
"Bates College","2 Andrews Road, Lewiston, Maine 04240","www.bates.edu/","4-year, Private not-for-profit","Bachelor's degree","City: Small","Yes","1790","1790","91%","7%","Fall 2017","$26,658","-","160977","00203600"
"Bates Technical College","1101 S Yakima Ave, Tacoma, Washington 98405","https://www.batestech.edu/","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","City: Midsize","No","4133","4133","30%","11%","Fall 2020","$6,434","-","235671","00530600"
"Baton Rouge Community College","201 Community College Drive, Baton Rouge, Louisiana 70806","www.mybrcc.edu/","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","City: Midsize","No","9284","9284","27%","20%","Fall 2020","$10,007","-","437103","03730300"
"Bay de Noc Community College","2001 N Lincoln Road, Escanaba, Michigan 49829-2511","https://www.baycollege.edu/","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Town: Remote","Yes","1969","1969","21%","19%","Fall 2020","$9,457","-","168883","00224000"
"Bay Mills Community College","12214 W Lakeshore Dr, Brimley, Michigan 49715","www.bmcc.edu/","4-year, primarily associate's, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate|Bachelor's degree","Rural: Distant","No","538","538","30%","9%","Fall 2017","$5,698","-","380359","03066600"
"Bay Path University","588 Longmeadow Street, Longmeadow, Massachusetts 01106","www.baypath.edu/","4-year, Private not-for-profit","Less than one year certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - professional practice","Suburb: Large","Yes","2465","1315","57%","NA","Fall 2017","$14,935","-","164632","00212200"
"Baylor College of Medicine","One Baylor Plaza, Houston, Texas 77030-3498","www.bcm.edu/","4-year, Private not-for-profit","Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","No","1610","","NA","NA","Fall 2017","NA","-","223223","00494900"
"Baylor University"," , Waco, Texas 76798","www.baylor.edu/","4-year, Private not-for-profit","Less than one year certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Midsize","Yes","20709","15213","80%","NA","Fall 2017","$49,727","-","223232","00354500"
"Beacon College","105 E Main St, Leesburg, Florida 34748","https://www.beaconcollege.edu/","4-year, Private not-for-profit","Associate's degree|Bachelor's degree","Suburb: Midsize","Yes","501","501","57%","NA","Fall 2017","$47,664","-","384254","03373300"
"Beal University","99 Farm Road, Bangor, Maine 04401","www.beal.edu/","4-year, primarily associate's, Private for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree|Master's degree","City: Small","No","400","399","34%","NA","Fall 2017","$33,518","Registered Nursing/Registered Nurse","160995","00520400"
"Beaufort County Community College","5337 US Highway 264 East, Washington, North Carolina 27889","www.beaufortccc.edu/","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Rural: Fringe","No","1741","1741","36%","NA","Fall 2020","$7,118","-","197966","00855800"
"Beckfield College-Florence","16 Spiral Drive, Florence, Kentucky 41042","www.beckfield.edu/","4-year, primarily associate's, Private for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree","Suburb: Large","No","653","653","30%","NA","Fall 2017","$26,994","-","247065","02491100"
"Be'er Yaakov Talmudic Seminary","12 Truman Avenue, Spring Valley, New York 10977","www.byts.edu/","4-year, Private not-for-profit","Bachelor's degree","Suburb: Large","Yes","638","638","53%","10%","Fall 2017","$5,047","-","476717","04192800"
"Beis Medrash Heichal Dovid","211 Beach Seventeenth Street, Far Rockaway, New York 11691-4433","www.heichaldovid.org/","4-year, Private not-for-profit","Bachelor's degree","City: Large","Yes","164","147","18%","82%","Fall 2017","$11,171","-","444413","03713300"
"Belanger School of Nursing","650 McClellan St, Schenectady, New York 12304","www.ellismedicine.org/school-of-nursing/","2-year, Private not-for-profit","Associate's degree","City: Small","No","141","141","NA","NA","Fall 2020","$20,594","-","190956","00644800"
"Belhaven University","1500 Peachtree St, Jackson, Mississippi 39202","https://www.belhaven.edu/","4-year, Private not-for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship","City: Midsize","Yes","3627","1501","51%","NA","Fall 2017","$22,145","-","175421","00239700"
"Bellarmine University","2001 Newburg Rd, Louisville, Kentucky 40205-0671","https://www.bellarmine.edu/","4-year, Private not-for-profit","Two but less than 4 years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","Yes","2970","2343","68%","22%","Fall 2017","$24,432","-","156286","00195400"
"Bellevue College","3000 Landerholm Cir SE, Bellevue, Washington 98007-6484","https://bellevuecollege.edu/","4-year, primarily associate's, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree","City: Midsize","Yes","10617","10617","33%","25%","Fall 2017","$11,926","-","234669","00376900"
"Bellevue University","1000 Galvin Rd S, Bellevue, Nebraska 68005-3098","www.bellevue.edu/","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree|Doctor's degree - research/scholarship","Suburb: Large","Yes","13841","10808","56%","12%","Fall 2017","$25,735","-","180814","00974300"
